M,P-001331,CORTLANDT STREET,GREENWICH STREET,WASHINGTON STREET,N
M,P-005022,LUDLOW STREET,EAST HOUSTON STREET,FIRST AVENUE,W
M,P-005315,MADISON AVENUE,EAST  109 STREET,EAST  110 STREET,W
M,P-005333,3 AVENUE,EAST  123 STREET,EAST  124 STREET,W
M,P-005335,CORTLANDT STREET,WASHINGTON STREET,WEST STREET,S
M,P-005376,BARCLAY STREET,BROADWAY,GREENWICH STREET,S
M,P-005390,DEY STREET,GREENWICH STREET,WASHINGTON STREET,S
M,P-006849,LEXINGTON AVENUE,EAST  117 STREET,EAST  116 STREET,W
M,P-006857,3 AVENUE,EAST  118 STREET,EAST  119 STREET,W
M,P-007120,SUFFOLK STREET,HESTER STREET,GRAND STREET,E
M,P-010549,EAST   97 STREET,PARK AVENUE,MADISON AVENUE,S
M,P-014333,NORFOLK STREET,HESTER STREET,GRAND STREET,W
M,P-015679,SUFFOLK STREET,HESTER STREET,GRAND STREET,W
M,P-015830,ESSEX STREET,BROADWAY,HESTER STREET,E
M,P-016053,EAST    8 STREET,FIFTH AVENUE,UNNAMED STREET,N
M,P-016120,EIGHTH AVENUE,UNNAMED STREET,WEST  122 STREET,E
M,P-017226,GRAND STREET,NORFOLK STREET,SUFFOLK STREET,S
M,P-022138,FRONT STREET,COENTIES SLIP,CUYLERS ALLEY,S
M,P-024215,EAST    6 STREET,WEST   11 STREET,PERETZ SQUARE,W
M,P-024226,EAST    6 STREET,WEST   17 STREET,WEST   11 STREET,W
M,P-026738,FRONT STREET,COENTIES SLIP,COENTIES SLIP EAST,W
M,P-028872,FRONT STREET,COENTIES SLIP EAST,COENTIES SLIP,E
M,P-028878,SOUTH STREET,COENTIES SLIP,COENTIES SLIP,W
M,P-030818,JONES STREET,BLEECKER STREET,WEST    4 STREET,N
M,P-030957,MOTT STREET,PELL STREET,PARK ROW,E
M,P-030970,EAST    1 STREET,LUDLOW STREET,FIRST AVENUE,S
M,P-032177,VESEY STREET,WASHINGTON STREET,GREENWICH STREET,N
M,P-032178,WEST STREET,DEY STREET,FULTON STREET,E
M,P-032180,VESEY STREET,WASHINGTON STREET,WEST STREET,S
M,P-032340,DEY STREET,GREENWICH STREET,WASHINGTON STREET,N
M,P-032443,EAST HOUSTON STREET,EAST    1 STREET,LUDLOW STREET,N
M,P-032566,BROADWAY,WEST  134 STREET,WEST  135 STREET,W
M,P-033459,AVENUE OF THE AMERICAS,WEST    4 STREET,WAVERLY PLACE,W
M,P-033903,EAST    1 STREET,AVENUE A,LUDLOW STREET,S
M,P-034879,AVENUE OF THE AMERICAS,DOMINICK STREET,SPRING STREET,E
M,P-035009,AMSTERDAM AVENUE,WEST   73 STREET,BROADWAY,W
M,P-035167,BROADWAY,EAST   99 STREET,WEST   98 STREET,W
M,P-035310,HUDSON STREET,ABINGDON SQUARE,WEST   18 STREET,E
M,P-036709,RUTGERS SLIP,HENRY STREET,BROADWAY,E
M,P-036750,FORSYTH STREET,DIVISION STREET,BROADWAY,W
M,P-036812,BROOME STREET,CLINTON STREET,ATTORNEY STREET,S
M,P-037327,WILLIAM STREET,PEARL STREET,HANOVER SQUARE,N
M,P-038220,EAST   20 STREET,UNNAMED STREET,UNNAMED STREET,N
M,P-038233,FIRST AVENUE,UNNAMED STREET,EAST   16 STREET,W
M,P-038328,PEARL STREET,CARDINAL HAYES PLACE,KENT PLACE,N
M,P-038751,DELANCEY STREET,NORFOLK STREET,ESSEX STREET,E
M,P-039327,PEARL STREET,KENT PLACE,FOLEY SQUARE,N
M,P-039800,BROADWAY,WEST  134 STREET,WEST  133 STREET,W
M,P-041874,CENTRE STREET,DUANE STREET,PEARL STREET,W
M,P-043036,HUDSON STREET,WEST   10 STREET,CHARLES STREET,E
M,P-044131,AVENUE B,EAST  112 STREET,EAST   12 STREET,W
M,P-044248,CLARKSON STREET,HUDSON STREET,EAST    7 STREET,N
M,P-045812,BROADWAY,WEST  133 STREET,WEST  134 STREET,E
M,P-045835,AMSTERDAM AVENUE,WEST  115 STREET,WEST  116 STREET,E
M,P-047621,DIVISION STREET,FLORENCE PLACE,CHRYSTIE STREET,N
M,P-047806,EAST   74 STREET,WEST END AVENUE,BROADWAY,S
M,P-048309,ST NICHOLAS AVENUE,WEST  146 STREET,WEST  145 STREET,W
M,P-050951,3 AVENUE,EAST   60 STREET,EAST   72 STREET,N
M,P-050956,3 AVENUE,EAST   72 STREET,EAST   86 STREET,N
M,P-051496,BROADWAY,WEST  225 STREET,EXTERIOR STREET,E
M,P-052815,5 AVENUE,EAST  104 STREET,EAST  103 STREET,E
M,P-054512,SECOND AVENUE,UNNAMED STREET,EAST    7 STREET,W
M,P-055771,AVENUE B,WEST   14 STREET,EAST   13 STREET,W
M,P-056802,CARMINE STREET,7 AVENUE,BEDFORD STREET,S
M,P-057008,PEARL STREET,ST JAMES PLACE,MADISON STREET,E
M,P-059436,UNNAMED STREET,WEST  144 STREET,WEST  143 STREET,W
M,P-059934,WEST   10 STREET,STUYVESANT STREET,SECOND AVENUE,S
M,P-060358,FIRST AVENUE,EAST    7 STREET,UNNAMED STREET,E
M,P-060366,FIRST AVENUE,EAST    7 STREET,EAST    7 STREET,W
M,P-060367,FIRST AVENUE,EAST    7 STREET,UNNAMED STREET,W
M,P-060368,FIRST AVENUE,UNNAMED STREET,EAST    9 STREET,W
M,P-061350,WEST   73 STREET,YORK AVENUE,FDR DRIVE,S
M,P-061756,WEST    4 STREET,GROVE STREET,BARROW STREET,W
M,P-061758,WEST    4 STREET,AVENUE OF THE AMERICAS,MACDOUGAL STREET,N
M,P-061835,FORSYTH STREET,CANAL STREET,HESTER STREET,E
M,P-061837,FORSYTH STREET,GRAND STREET,CANAL STREET,W
M,P-062477,GRAND STREET,WHITE STREET,WALKER STREET,W
M,P-062617,WEST   45 STREET,8 AVENUE,11 AVENUE,N
M,P-063916,EAST    1 STREET,EAST HOUSTON STREET,LUDLOW STREET,S
M,P-064251,EAST   17 STREET,UNION SQUARE,UNION SQUARE,N
